Text,Count,Weight
Howittne,2,0.000695652
Hyam,2,0.000695652
Ingles,2,0.000695652
Inkerman,2,0.000695652
Isaacsne,2,0.000695652
Jackson,2,0.000695652
Johnston,2,0.000695652
Rail,2,0.000695652
Jonesne,2,0.000695652
Kavanaghreet,2,0.000695652
Kendallenue,2,0.000695652
Kensington,2,0.000695652
Kerr,2,0.000695652
King,2,0.000695652
Trobereet,2,0.000695652
Lalor,2,0.000695652
Lang,2,0.000695652
Langs,2,0.000695652
Leicesterreet,2,0.000695652
Lennonreet,2,0.000695652
Leveson,2,0.000695652
Smithreet,2,0.000695652
Lonsdalereet,2,0.000695652
Page,2,0.000695652
Provostreet,2,0.000695652
Lonsdalene,2,0.000695652
Lt,2,0.000695652
Lygon,2,0.000695652
Lygonreet,2,0.000695652
Lyons,2,0.000695652
Macaulay,2,0.000695652
Madden,2,0.000695652
Terrace,2,0.000695652
Market,2,0.000695652
Marketne,2,0.000695652
Marketreet,2,0.000695652
Mc,2,0.000695652
Mccabe,2,0.000695652
Mccraereet,2,0.000695652
Mcdonaldne,2,0.000695652
Mcdougallne,2,0.000695652
Mcilwraith,2,0.000695652
Mcinerneyne,2,0.000695652
Mcnamara,2,0.000695652
Mena,2,0.000695652
Mercantile,2,0.000695652
Merchantne,2,0.000695652
Merchantreet,2,0.000695652
Middleton,2,0.000695652
Millerne,2,0.000695652
Montague,2,0.000695652
Moorereet,2,0.000695652
Morrahreet,2,0.000695652
Alexander,2,0.000695652
Munrosne,2,0.000695652
Munster,2,0.000695652
Navigation,2,0.000695652
Neillreet,2,0.000695652
Nicholsne,2,0.000695652
Nicholsonreet,2,0.000695652
Normanby,2,0.000695652
Poplar,2,0.000695652
Osborne,2,0.000695652
Palmerston,2,0.000695652
Parkove,2,0.000695652
Pearl,2,0.000695652
Pender,2,0.000695652
Ph8035,2,0.000695652
Pl5005,2,0.000695652
Pl5015,2,0.000695652
Pl5031,2,0.000695652
Pl5101,2,0.000695652
Pl5102,2,0.000695652
Pl5136,2,0.000695652
Pl5139,2,0.000695652
Pl5207,2,0.000695652
Pl5208,2,0.000695652
Pl5297,2,0.000695652
Pl5347,2,0.000695652
Port,2,0.000695652
Portlandne,2,0.000695652
Office,2,0.000695652
Powellne,2,0.000695652
Professors,2,0.000695652
Queensberry,2,0.000695652
Queensbridge,2,0.000695652
Raglan,2,0.000695652
Viaduct,2,0.000695652
Rakaia,2,0.000695652
Rathdowne,2,0.000695652
Raynerne,2,0.000695652
Reynoldsne,2,0.000695652
Riggers,2,0.000695652
Riversideenue,2,0.000695652
Rostella,2,0.000695652
Rourkene,2,0.000695652
Russellreet,2,0.000695652
San,2,0.000695652
Marcone,2,0.000695652
Seafarerne,2,0.000695652
Shandsne,2,0.000695652
Singersne,2,0.000695652
Singletonne,2,0.000695652
Sm0549,2,0.000695652
Smithfield,2,0.000695652
Burnley,2,0.000695652
Link,2,0.000695652
Southernoss,2,0.000695652
Sparkne,2,0.000695652
Stanleyreet,2,0.000695652
Star,2,0.000695652
Staughton,2,0.000695652
Stawellreet,2,0.000695652
Stephenson,2,0.000695652
Stevensonne,2,0.000695652
