Text,Count,Weight
Evelyn,4,0.000238251
Eyre,4,0.000238251
Fairway,4,0.000238251
Fern,4,0.000238251
Ferry,4,0.000238251
First,4,0.000238251
Flynn,4,0.000238251
Fortitude,4,0.000238251
Fred,4,0.000238251
Gailey,4,0.000238251
Gardner,4,0.000238251
Garrick,4,0.000238251
Gateway,4,0.000238251
Mcleod,4,0.000238251
Gilbert,4,0.000238251
Girraween,4,0.000238251
Glenelg,4,0.000238251
Orchid,4,0.000238251
Goulburn,4,0.000238251
Gould,4,0.000238251
Gowan,4,0.000238251
Greenwood,4,0.000238251
Grenier,4,0.000238251
Halifax,4,0.000238251
Hampstead,4,0.000238251
Hampton,4,0.000238251
Harcourt,4,0.000238251
Harmony,4,0.000238251
Harvard,4,0.000238251
Heritage,4,0.000238251
Hickory,4,0.000238251
Hilda,4,0.000238251
Hillside,4,0.000238251
Hilltop,4,0.000238251
Hipwood,4,0.000238251
Hockings,4,0.000238251
Hudson,4,0.000238251
Hughes,4,0.000238251
Hume,4,0.000238251
Illaweena,4,0.000238251
Imperial,4,0.000238251
Indooroopilly,4,0.000238251
Ives,4,0.000238251
Ivory,4,0.000238251
Ivy,4,0.000238251
Jabiru,4,0.000238251
Jade,4,0.000238251
Jarrah,4,0.000238251
Joffre,4,0.000238251
Jordan,4,0.000238251
Julia,4,0.000238251
Kangaroo,4,0.000238251
Gully,4,0.000238251
Katherine,4,0.000238251
Kenny,4,0.000238251
Kestrel,4,0.000238251
Kew,4,0.000238251
Kingsley,4,0.000238251
Kookaburra,4,0.000238251
Kurrajong,4,0.000238251
Latrobe,4,0.000238251
Lavender,4,0.000238251
Leslie,4,0.000238251
Lexington,4,0.000238251
Pilly,4,0.000238251
Linkfield,4,0.000238251
Lockyer,4,0.000238251
Loffs,4,0.000238251
Luke,4,0.000238251
Lyrebird,4,0.000238251
Macdonald,4,0.000238251
Mackay,4,0.000238251
Mackenzie,4,0.000238251
Mahogany,4,0.000238251
Majestic,4,0.000238251
Manly,4,0.000238251
Manor,4,0.000238251
Marigold,4,0.000238251
Mark,4,0.000238251
Martindale,4,0.000238251
Mawson,4,0.000238251
Mayfield,4,0.000238251
Mccullough,4,0.000238251
Mcdougall,4,0.000238251
Mclennan,4,0.000238251
Meadow,4,0.000238251
Melbourne,4,0.000238251
Mill,4,0.000238251
Mimosa,4,0.000238251
Monash,4,0.000238251
Monterey,4,0.000238251
Montrose,4,0.000238251
Morris,4,0.000238251
Mountjoy,4,0.000238251
Tamborine,4,0.000238251
Nestor,4,0.000238251
Newmarket,4,0.000238251
Nicholson,4,0.000238251
Ninth,4,0.000238251
Oakwood,4,0.000238251
Olivia,4,0.000238251
Orange,4,0.000238251
Parklane,4,0.000238251
Parkway,4,0.000238251
Paterson,4,0.000238251
Patricia,4,0.000238251
Patterson,4,0.000238251
Payne,4,0.000238251
Perkins,4,0.000238251
Perry,4,0.000238251
Petunia,4,0.000238251
Phoenix,4,0.000238251
Pitt,4,0.000238251
Port,4,0.000238251
Power,4,0.000238251
Prout,4,0.000238251
Ramsay,4,0.000238251
Raven,4,0.000238251
Rees,4,0.000238251
Regal,4,0.000238251
Robertson,4,0.000238251
Rogers,4,0.000238251
Rosewood,4,0.000238251
Ruby,4,0.000238251
Rudyard,4,0.000238251
Ruth,4,0.000238251
Sackville,4,0.000238251
Salisbury,4,0.000238251
Seeana,4,0.000238251
Sefton,4,0.000238251
Selkirk,4,0.000238251
Seventeen,4,0.000238251
Mile,4,0.000238251
Rocks,4,0.000238251
Sexton,4,0.000238251
Shirley,4,0.000238251
Sinclair,4,0.000238251
Clair,4,0.000238251
Vincents,4,0.000238251
Stanford,4,0.000238251
Stanton,4,0.000238251
Stratton,4,0.000238251
Stringybark,4,0.000238251
Stuart,4,0.000238251
Sturt,4,0.000238251
Tallowwood,4,0.000238251
Tarragindi,4,0.000238251
Tasman,4,0.000238251
Tennyson,4,0.000238251
Village,4,0.000238251
Thompson,4,0.000238251
Thynne,4,0.000238251
Tilley,4,0.000238251
Trafalgar,4,0.000238251
Tulip,4,0.000238251
Vaucluse,4,0.000238251
Vera,4,0.000238251
Verney,4,0.000238251
Wagtail,4,0.000238251
Wallum,4,0.000238251
Ward,4,0.000238251
Waterford,4,0.000238251
Waterworks,4,0.000238251
Wecker,4,0.000238251
Whistler,4,0.000238251
Williams,4,0.000238251
Willis,4,0.000238251
Windermere,4,0.000238251
Wishart,4,0.000238251
Wisteria,4,0.000238251
Zillmere,4,0.000238251
Abbotsford,3,0.000178688
Abuklea,3,0.000178688
Alex,3,0.000178688
Algester,3,0.000178688
Alphitonia,3,0.000178688
Amanda,3,0.000178688
Amy,3,0.000178688
Anthony,3,0.000178688
Apple,3,0.000178688
Armstrong,3,0.000178688
Ascot,3,0.000178688
Ashby,3,0.000178688
Ashgrove,3,0.000178688
Ashton,3,0.000178688
Atherton,3,0.000178688
Athlone,3,0.000178688
Atkinson,3,0.000178688
Auburn,3,0.000178688
Augusta,3,0.000178688
Augustus,3,0.000178688
Austin,3,0.000178688
Autumn,3,0.000178688
Avocet,3,0.000178688
Avondale,3,0.000178688
Azalea,3,0.000178688
Bale,3,0.000178688
Bancroft,3,0.000178688
Bangalow,3,0.000178688
Banyan,3,0.000178688
Bapaume,3,0.000178688
Barker,3,0.000178688
Barrington,3,0.000178688
Bartley,3,0.000178688
Bauhinia,3,0.000178688
Bay,3,0.000178688
Beaconsfield,3,0.000178688
Beatty,3,0.000178688
Begonia,3,0.000178688
Bell,3,0.000178688
Bellavista,3,0.000178688
Bellbird,3,0.000178688
Bellwood,3,0.000178688
Belmore,3,0.000178688
Belvedere,3,0.000178688
Berry,3,0.000178688
Eden,3,0.000178688
Beverley,3,0.000178688
Bielby,3,0.000178688
Billabong,3,0.000178688
Billington,3,0.000178688
Bilsen,3,0.000178688
Bird,3,0.000178688
Blackheath,3,0.000178688
Bland,3,0.000178688
Bloomfield,3,0.000178688
Bluegum,3,0.000178688
Bogong,3,0.000178688
Bond,3,0.000178688
Boronia,3,0.000178688
Botticelli,3,0.000178688
Bowling,3,0.000178688
Bradford,3,0.000178688
Bradman,3,0.000178688
Brampton,3,0.000178688
Brentwood,3,0.000178688
Brickfield,3,0.000178688
Bridgewater,3,0.000178688
Brier,3,0.000178688
Brigalow,3,0.000178688
Broadway,3,0.000178688
Brockman,3,0.000178688
Brompton,3,0.000178688
Brooke,3,0.000178688
Brush,3,0.000178688
Buckle,3,0.000178688
Burdekin,3,0.000178688
Burlington,3,0.000178688
Bushlark,3,0.000178688
Byrne,3,0.000178688
Calliandra,3,0.000178688
Calliope,3,0.000178688
Camelot,3,0.000178688
Cape,3,0.000178688
Cardiff,3,0.000178688
Carl,3,0.000178688
Carmel,3,0.000178688
Carnation,3,0.000178688
Carr,3,0.000178688
Castlemaine,3,0.000178688
Caxton,3,0.000178688
Chapman,3,0.000178688
Chatsworth,3,0.000178688
Cherry,3,0.000178688
Childs,3,0.000178688
Christina,3,0.000178688
Cintra,3,0.000178688
Clare,3,0.000178688
Claremont,3,0.000178688
Clarendon,3,0.000178688
Clarke,3,0.000178688
